trip_id,arrival_time,departure_time,stop_id,stop_sequence
3-holiday-0-1600,16:03:42,16:03:42,2,1
3-holiday-0-1600,16:04:42,16:04:42,3,2
3-holiday-0-1600,16:05:40,16:05:40,4,3
3-holiday-0-1600,16:06:28,16:06:28,5,4
3-holiday-0-1600,16:07:36,16:07:36,6,5
3-holiday-0-1600,16:09:09,16:09:09,8,6
3-holiday-0-1600,16:09:29,16:09:29,7,7
3-holiday-0-1600,16:10:10,16:10:10,9,8
3-holiday-0-1600,16:10:35,16:10:35,10,9
3-holiday-0-1600,16:10:57,16:10:57,11,10
3-holiday-0-1600,16:11:35,16:11:35,69,11
3-holiday-0-1600,16:13:10,16:13:10,71,12
3-holiday-0-1600,16:13:50,16:13:50,72,13
3-holiday-0-1600,16:14:49,16:14:49,73,14
3-holiday-0-1600,16:15:44,16:15:44,183,15
3-holiday-0-1600,16:17:17,16:17:17,76,16
3-holiday-0-1600,16:18:37,16:18:37,78,17
3-holiday-0-1600,16:19:16,16:19:16,198,18
3-holiday-0-1600,16:20:12,16:20:12,80,19
3-holiday-0-1600,16:20:23,16:20:23,81,20
3-holiday-0-1600,16:20:59,16:20:59,232,21
3-weekday-0-0700,07:22:21,07:22:21,5,1
3-weekday-0-0700,07:22:58,07:22:58,6,2
3-weekday-0-0700,07:23:56,07:23:56,7,3
3-weekday-0-0700,07:25:28,07:25:28,9,4
3-weekday-0-0700,07:26:22,07:26:22,10,5
3-weekday-0-0700,07:27:08,07:27:08,11,6
3-weekday-0-0700,07:28:28,07:28:28,69,7
3-weekday-0-0700,07:29:29,07:29:29,71,8
3-weekday-0-0700,07:30:18,07:30:18,72,9
3-weekday-0-0700,07:31:07,07:31:07,73,10
3-weekday-0-0700,07:32:22,07:32:22,183,11
3-weekday-0-0700,07:34:34,07:34:34,75,12
3-weekday-0-0700,07:35:11,07:35:11,76,13
3-weekday-0-0700,07:35:46,07:35:46,77,14
3-weekday-0-0700,07:36:16,07:36:16,78,15
3-weekday-0-0700,07:36:48,07:36:48,198,16
3-weekday-0-0700,07:37:35,07:37:35,79,17
3-weekday-0-0700,07:38:36,07:38:36,80,18
3-weekday-0-0700,07:38:57,07:38:57,81,19
3-weekday-0-0700,07:39:42,07:39:42,82,20
3-weekday-0-0700,07:40:33,07:40:33,232,21
3-weekday-0-0800,08:01:02,08:01:02,1,1
3-weekday-0-0800,08:05:16,08:05:16,2,2
3-weekday-0-0800,08:06:36,08:06:36,3,3
3-weekday-0-0800,08:07:08,08:07:08,4,4
3-weekday-0-0800,08:07:50,08:07:50,5,5
3-weekday-0-0800,08:08:45,08:08:45,6,6
3-weekday-0-0800,08:10:31,08:10:31,7,7
3-weekday-0-0800,08:11:04,08:11:04,9,8
3-weekday-0-0800,08:11:24,08:11:24,10,9
3-weekday-0-0800,08:11:56,08:11:56,11,10
3-weekday-0-0800,08:13:49,08:13:49,69,11
3-weekday-0-0800,08:14:55,08:14:55,71,12
3-weekday-0-0800,08:15:52,08:15:52,72,13
3-weekday-0-0800,08:16:43,08:16:43,73,14
3-weekday-0-0800,08:17:32,08:17:32,183,15
3-weekday-0-0800,08:18:32,08:18:32,75,16
3-weekday-0-0800,08:19:30,08:19:30,76,17
3-weekday-0-0800,08:19:41,08:19:41,77,18
3-weekday-0-0800,08:20:39,08:20:39,78,19
3-weekday-0-0800,08:21:21,08:21:21,79,20
3-weekday-0-0800,08:22:06,08:22:06,80,21
3-weekday-0-0800,08:22:51,08:22:51,81,22
3-weekday-0-0800,08:24:31,08:24:31,82,23
3-weekday-0-0800,08:25:00,08:25:00,232,24
3-weekday-0-0900,09:00:18,09:00:18,1,1
3-weekday-0-0900,09:05:34,09:05:34,2,2
3-weekday-0-0900,09:06:12,09:06:12,3,3
3-weekday-0-0900,09:06:58,09:06:58,4,4
3-weekday-0-0900,09:07:54,09:07:54,5,5
3-weekday-0-0900,09:09:08,09:09:08,6,6
3-weekday-0-0900,09:10:39,09:10:39,7,7
3-weekday-0-0900,09:11:06,09:11:06,8,8
3-weekday-0-0900,09:11:36,09:11:36,9,9
3-weekday-0-0900,09:12:12,09:12:12,10,10
3-weekday-0-0900,09:13:10,09:13:10,11,11
3-weekday-0-0900,09:14:03,09:14:03,69,12
3-weekday-0-0900,09:15:26,09:15:26,71,13
3-weekday-0-0900,09:15:46,09:15:46,72,14
3-weekday-0-0900,09:16:06,09:16:06,73,15
3-weekday-0-0900,09:17:16,09:17:16,183,16
3-weekday-0-0900,09:18:30,09:18:30,75,17
3-weekday-0-0900,09:19:52,09:19:52,76,18
3-weekday-0-0900,09:20:30,09:20:30,77,19
3-weekday-0-0900,09:20:56,09:20:56,78,20
3-weekday-0-0900,09:21:18,09:21:18,198,21
3-weekday-0-0900,09:21:51,09:21:51,79,22
3-weekday-0-0900,09:22:33,09:22:33,80,23
3-weekday-0-0900,09:23:18,09:23:18,81,24
3-weekday-0-0900,09:24:12,09:24:12,82,25
3-weekday-0-0900,09:25:13,09:25:13,232,26
3-weekday-0-1000,10:01:42,10:01:42,1,1
3-weekday-0-1000,10:06:20,10:06:20,2,2
3-weekday-0-1000,10:07:22,10:07:22,3,3
3-weekday-0-1000,10:08:43,10:08:43,4,4
3-weekday-0-1000,10:09:34,10:09:34,5,5
3-weekday-0-1000,10:10:43,10:10:43,6,6
3-weekday-0-1000,10:12:31,10:12:31,7,7
3-weekday-0-1000,10:12:55,10:12:55,8,8
3-weekday-0-1000,10:13:22,10:13:22,9,9
3-weekday-0-1000,10:14:08,10:14:08,10,10
3-weekday-0-1000,10:14:52,10:14:52,11,11
3-weekday-0-1000,10:16:04,10:16:04,69,12
3-weekday-0-1000,10:17:04,10:17:04,71,13
3-weekday-0-1000,10:17:47,10:17:47,72,14
3-weekday-0-1000,10:18:36,10:18:36,73,15
3-weekday-0-1000,10:19:16,10:19:16,183,16
3-weekday-0-1000,10:21:14,10:21:14,75,17
3-weekday-0-1000,10:21:52,10:21:52,76,18
3-weekday-0-1000,10:22:32,10:22:32,77,19
3-weekday-0-1000,10:23:04,10:23:04,78,20
3-weekday-0-1000,10:23:37,10:23:37,198,21
3-weekday-0-1000,10:24:15,10:24:15,79,22
3-weekday-0-1000,10:24:36,10:24:36,80,23
3-weekday-0-1000,10:25:36,10:25:36,81,24
3-weekday-0-1000,10:26:42,10:26:42,82,25
3-weekday-0-1000,10:27:34,10:27:34,232,26
3-weekday-0-1100,11:02:16,11:02:16,1,1
3-weekday-0-1100,11:06:48,11:06:48,2,2
3-weekday-0-1100,11:07:42,11:07:42,3,3
3-weekday-0-1100,11:08:41,11:08:41,4,4
3-weekday-0-1100,11:10:04,11:10:04,5,5
3-weekday-0-1100,11:11:24,11:11:24,6,6
3-weekday-0-1100,11:11:45,11:11:45,7,7
3-weekday-0-1100,11:13:02,11:13:02,8,8
3-weekday-0-1100,11:13:38,11:13:38,9,9
3-weekday-0-1100,11:14:14,11:14:14,10,10
3-weekday-0-1100,11:15:26,11:15:26,11,11
3-weekday-0-1100,11:17:04,11:17:04,69,12
3-weekday-0-1100,11:18:23,11:18:23,71,13
3-weekday-0-1100,11:18:52,11:18:52,72,14
3-weekday-0-1100,11:19:39,11:19:39,73,15
3-weekday-0-1100,11:20:36,11:20:36,183,16
3-weekday-0-1100,11:22:27,11:22:27,75,17
3-weekday-0-1100,11:23:07,11:23:07,76,18
3-weekday-0-1100,11:23:45,11:23:45,77,19
3-weekday-0-1100,11:24:17,11:24:17,78,20
3-weekday-0-1100,11:24:52,11:24:52,198,21
3-weekday-0-1100,11:25:07,11:25:07,79,22
3-weekday-0-1100,11:25:26,11:25:26,80,23
3-weekday-0-1100,11:26:22,11:26:22,81,24
3-weekday-0-1100,11:26:59,11:26:59,82,25
3-weekday-0-1100,11:27:40,11:27:40,232,26
3-weekday-0-1200,12:03:14,12:03:14,1,1
3-weekday-0-1200,12:05:46,12:05:46,2,2
3-weekday-0-1200,12:06:42,12:06:42,3,3
3-weekday-0-1200,12:07:45,12:07:45,4,4
3-weekday-0-1200,12:08:40,12:08:40,5,5
3-weekday-0-1200,12:09:11,12:09:11,6,6
3-weekday-0-1200,12:09:31,12:09:31,7,7
3-weekday-0-1200,12:09:46,12:09:46,8,8
3-weekday-0-1200,12:10:03,12:10:03,9,9
3-weekday-0-1200,12:10:23,12:10:23,10,10
3-weekday-0-1200,12:10:40,12:10:40,11,11
3-weekday-0-1200,12:11:09,12:11:09,69,12
3-weekday-0-1200,12:14:44,12:14:44,71,13
3-weekday-0-1200,12:15:27,12:15:27,72,14
3-weekday-0-1200,12:16:10,12:16:10,73,15
3-weekday-0-1200,12:17:15,12:17:15,183,16
3-weekday-0-1200,12:19:12,12:19:12,75,17
3-weekday-0-1200,12:19:26,12:19:26,76,18
3-weekday-0-1200,12:19:40,12:19:40,77,19
3-weekday-0-1200,12:19:52,12:19:52,78,20
3-weekday-0-1200,12:20:04,12:20:04,198,21
3-weekday-0-1200,12:20:19,12:20:19,79,22
3-weekday-0-1200,12:20:38,12:20:38,80,23
3-weekday-0-1200,12:22:08,12:22:08,81,24
3-weekday-0-1200,12:23:00,12:23:00,82,25
3-weekday-0-1200,12:23:41,12:23:41,232,26
3-weekday-0-1300,13:03:13,13:03:13,1,1
